pareçiere	pareciere
sigua	siga
de	de
aquellos	aquéllos
horden	orden
i	y
voluntad	voluntad
de	de
vm	vm
qualles	cuales
he	he
remitido	remitido
por	por
letra	letra
de	de
agostin	agustín
segui	segui
i	y
del	del
dia	día
prte	presente
con	con
esto	esto
queda	queda
la	la
cuenta	cuenta
de	de
vm	vm
rematada	rematada
hasta	hasta
lo	lo
que	que
sera	será
cobrado	cobrado
a	a
los	los
dies	diez
de	de
henero	enero
propassado	propasado
segun	según
por	por
la	la
cuenta	cuenta
va	va
con	con
esta	ésta
vm	vm
vera	verá
que	que
sera	será
serbido	servido
abisarme	avisarme
de	de
todo	todo
i	y
tanbien	también
abisarme	avisarme
a	a
quien	quien
manda	manda
cobrado	cobrado
el	el
salario	salario
cada	cada
anio	año
lo	lo
remitta	remita
que	que
de	de
una	una
bes	vez
bastara	bastará
que	que
vm	vm
me	me
abise	avise
a	a
mi	mí
que	que
por	por
vm	vm
nunca	nunca
averme	haberme
escrito	escrito
ni	ni
dado	dado
tal	tal
horden	orden
se	se
ha	ha
dexado	dejado
de	de
hazer	hacer
hasta	hasta
hoi	hoy
y	y
n	nuestro
s	señor
guarde	guarde
a	a
vm	vm
y	y
sea	sea
co	con
todospere	todospere
santus	santus
mira	mira
que	que
por	por
aca	acá
hernã	hernán
velazquez	velázquez
a	ha
tomado	tomado
información	información
sobre	sobre
un	un
neguocio	negocio
quando	cuando
unas	unas
carnestoliendas	carnestolendas
anduvistes	anduvistes
cubierto	cubierto
con	con
una	una
tablita	tablita
dando	dando
a	a
besar	besar
a	a
las	las
gentes	gentes
diziendo	diciendo
dad	«dad
pa	para
santa	santa
luzia	lucía»
por	por
aca	acá
dizẽ	dicen
que	que
tienẽ	tienen
informaciõ	información
hecha	hecha
vos	vos
mira	mirad
vuestra	vuestra
concieça	conciencia
si	si
lo	lo
hizistes	hicistes
o	o
no	no
y	y
si	si
podeis	podéis
dar	dar
algunos	algunos
desgarguos	descargos
en	en
el	el
neguocio	negocio
porq	porque
os	os
va	va
la	la
vida	vida
y	y
la	la
onrra	honra
y	y
no	no
os	os
burleis	burléis
con	con
el	el
neguoçio	negocio
porq	porque
es	es
caso	caso
de	de
inquisiçiõ	inquisición
y	y
acõsejaos	aconsejaos
cõ	con
un	un
buẽ	buen
letrado	letrado
y	y
eso	eso
haze	haced
y	y
no	no
otra	otra
cosa	cosa
y	y
en	en
cõfisiõ	confesión
os	os
descubri	descubrid
d	de
este	este
neguoçio	negocio
señor	señor
hermnosuplico	hermanosuplico
a	a
vm	vm
no	no
tome	tome
por	por
travaxo	trabajo
el	el
bien	bien
y	y
limosna	limosna
que	que
vm	vm
sìenpre	siempre
me	me
haçe	hace
porque	porque
como	como
por	por
hotras	otras
tengo	tengo
dicho	dicho
haga	haga
cuenta	cuenta
que	que
lo	lo
haçe	hace
por	por
hun	un
esclavo	esclavo
suyo	suyo
y	y
es	es
que	que
vm	vm
mande	mande
meter	meter
huna	una
petiçìon	petición
en	en
el	el
consexo	consejo
de	de
ynquisiçion	inquisición
pìdiendo	pidiendo
por	por
ella	ella
manden	manden
sus	sus
halteças	altezas
dar	dar
huna	una
probisìon	provisión
por	por
vìrtud	virtud
de	de
la	la
relaçìon	relación
que	que
vm	vm
ha	ha
metido	metido
en	en
mì	mi
nonbre	nombre
para	para
que	que
den	den
esos	esos
señores	señores
huna	una
probisìon	provisión
para	para
tomar	tomar
teos	testigos
i	y
que	que
no	no
me	me
entreguen	entreguen
en	en
las	las
galeras	galeras
hasta	hasta
que	que
haga	haga
ynformaçìon	información
y	y
descargo	descargo
contra	contra
la	la
falsa	falsa
hacusaçìon	acusación
que	que
fuy	fui
acusado	acusado
tanbien	también
reçebire	recibiré
m	merced
que	que
vm	vm
no	no
descuyde	descuide
de	de
enbiar	enviar
a	a
lcala	alcalá
por	por
los	los
recaudos	recaudos
que	que
a	a
vm	vm
escrebi	escribí
en	en
el	el
hotro	otro
pligo	pliego
y	y
vm	vm
no	no
se	se
detenga	detenga
en	en
soliçitar	solicitar
mis	mis
negoçìos	negocios
haguardando	aguardando
a	a
mì	mi
muger	mujer
porque	porque
quica	quizá
no	no
la	la
dexaran	dejarán
sus	sus
parientes	parientes
benir	venir
sino	sino
vm	vm
con	con
mìs	mis
parientes	parientes
y	y
amìgos	amigos
de	de
vm	vm
lo	lo
soliçite	solicite
con	con
brebedad	brevedad
porque	porque
muy	muy
mexor	mejor
se	se
negoçìa	negocia
en	en
el	el
consexo	consejo
de	de
ynquiçìçion	inquisición
que	que
no	no
en	en
los	los
hotros	otros
consegos	consejos
de	de
que	que
ay	hay
quien	quien
lo	lo
soliçìte	solicite
y	y
ansi	así
de	de
las	las
cartas	cartas
todas	todas
que	que
yo	yo
guiare	guiare
a	a
la	la
corte	corte
yran	irán
todas	todas
guiadas	guiadas
a	a
vm	vm
y	y
las	las
que	que
de	de
alcala	alcalá
binieren	vinieren
para	para
mì	mí
tanbièn	también
bernan	vendrán
guiadas	guiadas
a	a
vm	vm
para	para
que	que
yo	yo
las	las
haya	haya
desde	desde
dondequiera	dondequiera
qu	que
estubiere	estuviere
escribire	escribiré
a	a
vm	vm
para	para
que	que
haga	haga
mìs	mis
negoçìos	negocios
los	los
portes	portes
y	y
los	los
demas	demás
dineros	dineros
que	que
vm	vm
costeare	costeare
con	con
el	el
primer	primer
mensagero	mensajero
que	que
hayà	haya
de	de
volber	volver
alla	allá
enbie	envíe
lo	lo
que	que
monta	monta
porque	porque
lo	lo
enbie	envíe
a	a
vm	vm
nuestro	nuestro
señor	señor
guarde	guarde
la	la
muy	muy
magca	magnífica
persona	persona
como	como
por	por
mi	mí
es	es
deseadaserbidor	deseadaservidor
y	y
criado	criado
de	de
vmhandres	vmandrés
de	de
çepeda	cepeda
negrete	negrete
sa	señora
primaescrivoos	primaescríboos
pues	pues
no	no
me	me
venístes	vinisteis
a	a
ver	ver
porq	porque
me	me
parese	parece
tan	tan
travajada	trabajada
estareís	estaréis
como	como
mi	mi
madre	madre
y	y
todos	todos
los	los
demas	demás
suplico	suplico
a	a
vmd	vm
q	que
me	me
la	la
haga	haga
e	en
procurar	procurar
q	que
mi	mi
muger	mujer
se	se
vega	venga
co	con
el	el
caretero	carretero
q	que
esta	ésta
lleva	lleva
y	y
lo	lo
solisiten	soliciten
vmd	vm
y	y
mi	mi
me	madre
hasta	hasta
ponella	ponerla
e	en
l	el
caro	carro
porq	porque
sto	esto
sera	será
líbrarme	librarme
a	a
mí	mí
de	de
poder	poder
de	de
justiçia	justicia
y	y
en	en
esto	esto
a	ha
de	de
poner	poner
vmd	vm
gran	gran
vijilançía	vigilancia
como	como
esta	ésta
llegare	llegare
sin	sin
yrse	irse
el	el
caretero	carretero
ebiara	enviará
vmd	vm
por	por
ella	ella
pues	pues
esta	está
tan	tan
serca	cerca
para	para
q	que
respoda	responda
y	y
conosca	conozca
al	al
caretero	carretero
y	y
el	él
a	a
ella	ella
y	y
le	le
muestren	muestren
su	su
casa	casa
para	para
si	si
fuere	fuere
menester	menester
la	la
sepa	sepa
a	a
mí	mi
pe	padre
y	y
me	madre
bezo	beso
míll	mil
vez	vez
las	las
manos	manos
y	y
a	a
mí	mi
hermana	hermana
y	y
al	al
sor	señor
gomez	gómez
medoça	mendoza
y	y
a	a
la	la
senora	señora
jua	juana
de	de
paramo	páramo
y	y
al	al
sor	señor
ayola	ayola
vmd	vm
m	me
escriva	escriba
todo	todo
lo	lo
q	que
pasa	pasa
porq	porque
sera	será
darme	darme
la	la
vida	vida
eteramente	enteramente
no	no
tengo	tengo
mas	más
q	que
escrevir	escribir
sino	sino
q	que
e	en
tato	tanto
q	que
sta	ésta
va	va
estare	estaré
e	en
una	una
cama	cama
y	y
me	me
sangrara	sangrará
nro	nuestro
s	señor
guarde	guarde
a	a
vmd	vm
como	como
yo	yo
deseojuan	deseojuan
de	de
medocay	mendozay
negoçien	negocien
de	de
modo	modo
q	que
si	si
no	no
viniere	viniere
ebien	envíen
los	los
vestidos	vestidos
co	con
el	el
caretero	carretero
porque	porque
no	no
podre	podré
pareser	parecer
e	en
ninguna	ninguna
parte	parte
sin	sin
ellos	ellos
porq	porque
bien	bien
sabe	sabe
ella	ella
q	que
son	son
menester	menester
donde	donde
voy	voy
por	por
no	no
andar	andar
desnudo	desnudo
hasta	hasta
q	que
ella	ella
venga	venga
señor	señor
hroya	hermanoya
sabeys	sabéis
como	como
my	mi
partyda	partida
fue	fue
tan	tan
depreyesa	deprisa
q	que
no	no
tuve	tuve
lugar	lugar
de	de
traer	traer
nada	nada
dyzyndo	diciendo
q	que
lugo	luego
me	me
avya	había
tras	tras
my	mí
de	de
traer	traer
todo	todo
rrecaudo	recaudo
po	pero
menos	menos
vyno	vino
tras	tras
my	mí
todos	todos
me	me
pareçe	parece
q	que
me	me
an	han
desmanparado	desamparado
en	en
dexarme	dejarme
aqy	aquí
en	en
este	este
lugar	lugar
comyndo	comiendo
co	con
lo	lo
q	que
avya	había
de	de
yr	ir
my	mi
vyaje	viaje
pero	pero
gomez	gómez
qreo	creo
q	que
por	por
lo	lo
q	que
dyxo	dijo
aqel	aquel
perro	perro
q	que
no	no
osa	osa
entender	entender
en	en
nada	nada
pydoos	pídoos
por	por
md	merced
q	que
veays	veáis
todo	todo
lo	lo
q	que
enbyo	envío
a	a
demandar	demandar
a	a
my	mi
muger	mujer
y	y
lugo	luego
me	me
lo	lo
hagan	hagan
traer	traer
en	en
esto	esto
y	y
n	en
lo	lo
demas	demás
q	que
se	se
ofreçyere	ofreciere
os	os
suplyco	suplico
entendays	entendáis
en	en
lo	lo
q	que
paro	paró
ese	ese
perro	perro
me	me
hazed	haced
saber	saber
todo	todo
muy	muy
largo	largo
a	a
my	mi
muger	mujer
y	e
hyjo	hijo
os	os
encomyndo	encomiendo
tanbyen	también
me	me
hazed	haced
saber	saber
lo	lo
q	que
jan	juan
d	de
ayala	ayala
my	mi
señor	señor
dyxo	dijo
sy	si
lo	lo
mando	mandó
hazer	hacer
asy	así
açerca	acerca
de	de
my	mi
muger	mujer
a	a
my	mi
hermana	hermana
beso	beso
las	las
manos	manos
nestro	nuestro
señor	señor
vuestra	vuestra
persona	persona
gurde	guarde
y	y
onrra	honra
acreçynte	acreciente
como	como
yo	yo
deseo	deseo
de	de
my	mi
hazynda	hacienda
me	me
escrevyd	escribid
sy	si
a	ha
avydo	habido
alguna	alguna
mudançade	mudanza
salvatyerra	de
xvi	salvatierra
de	xvi
mayo	de
en	mayoen
servyçyo	servicio
de	de
vestra	vuestra
mdberno	mercedbernardino
dyaz	díaz
muchas	muchas
cartas	cartas
tengo	tengo
escritas	escritas
a	a
vmd	vm
y	y
de	de
ninguna	ninguna
de	de
aquellas	aquéllas
tengo	tengo
respuesta	respuesta
y	y
asi	así
esta	ésta
solo	sólo
sera	será
para	para
dezir	decir
a	a
vmd	vm
como	como
he	he
cobrado	cobrado
dell	del
suelldo	sueldo
del	del
offisio	oficio
de	de
duanero	aduanero
de	de
vmd	vm
asta	hasta
los	los
dies	diez
de	de
henero	enero
propasado	propasado
setesientos	setecientos
y	y
hoxenta	ochenta
realles	reales
castellanos	castellanos
y	y
por	por
no	no
tener	tener
orden	orden
de	de
vmd	vm
lo	lo
que	que
manda	manda
se	se
aga	haga
d	de
ellos	ellos
no	no
se	se
los	los
he	he
remetido	remetido
ordene	ordene
vmd	vm
lo	lo
que	que
manda	manda
que	que
d	de
ellos	ellos
se	se
aga	haga
porque	porque
se	se
ara	hará
lo	lo
que	que
vmd	vm
mandare	mandare
yo	yo
escrivi	escribí
a	a
vmd	vm
que	que
me	me
procurase	procurase
el	el
offisio	oficio
de	de
consolo	cónsul
de	de
estrañas	extrañas
nasiones	naciones
que	que
por	por
muerte	muerte
de	de
jaime	jaime
dessy	dessy
bahia	vaya
despues	después
de	de
averlo	haberlo
escrito	escrito
he	he
pensado	pensado
que	que
es	es
nego	negocio
de	de
mucho	mucho
trabajo	trabajo
y	y
de	de
poco	poco
provecho	provecho
i	y
no	no
quiero	quiero
que	que
vmd	vm
se	se
tome	tome
trabajo	trabajo
por	por
ello	ello
y	y
asi	así
si	si
al	al
legar	llegar
d	de
esta	ésta
vmd	vm
no	no
lo	lo
a	ha
havido	habido
no	no
cunpl	cumple
ese	ese
trabajo	trabajo
de	de
averlo	haberlo
porque	porque
como	como
he	he
dicho	dicho
es	es
negosio	negocio
de	de
mucho	mucho
trabajo	trabajo
y	y
poco	poco
provecho	provecho
y	y
en	en
otra	otra
major	mejor
cossa	cosa
me	me
ara	hará
vmd	vm
a	a
mi	mí
md	merced
pero	pero
si	si
casso	caso
fuera	fuera
que	que
lo	lo
huviera	hubiera
havido	habido
md	vm
se	se
servira	servirá
del	del
credito	crédito
y	y
m	me
enbiara	enviará
ell	el
privilegio	privilegio
i	y
me	me
mandara	mandará
si	si
en	en
allgo	algo
lo	lo
puedo	puedo
servir	servir
que	que
lo	lo
hare	haré
con	con
mucha	mucha
voluntat	voluntad
q	que
n	nuestro
s	señor
guarde	guarde
a	a
vm	vm
y	y
sea	sea
con	con
todos	todos
de	de
caller	cáller
i	y
marso	marzo
a	a
los	los
8	8
de	de
1594se	1594se
servira	servirá
darme	darme
aviso	aviso
si	si
cobro	cobró
de	de
mto	mateo
de	de
ona	ona
de	de
v	v
los	los
480	480
rs	reales
q	que
del	del
pr	presente
anio	año
del	del
dicho	dicho
salario	salario
de	de
la	la
duana	aduana
q	que
por	por
aser	hacer
la	la
volluntad	voluntad
de	de
vmd	vm
le	le
remetipere	remitípere
santusla	santusla
q	que
ba	va
por	por
pere	pere
juan	juan
arquer	arquer
q	que
hes	es
un	un
caballero	caballero
d	de
esta	esta
siudat	ciudad
mande	mande
vmd	vm
atzer	hacer
dar	dar
muy	muy
magca	magnífica
señoraresyby	señorarecibí
la	la
carta	carta
de	de
vramd	vm
y	y
espantome	espántome
de	de
q	que
vramd	vm
no	no
me	me
aga	haga
la	la
md	merced
de	de
enbyarme	enviarme
los	los
dozientos	doscientos
ducados	ducados
sabyendo	sabiendo
la	la
necesidad	necesidad
en	en
q	que
yo	yo
estoy	estoy
q	que
sy	si
no	no
la	la
tubyera	tuviera
no	no
fuera	fuera
tan	tan
probre	pobre
y	y
por	por
los	los
demas	demás
yo	yo
me	me
aguardara	aguardara
lo	lo
mas	más
q	que
podyera	pudiera
yo	yo
hestos	estos
cyento	ciento
porq	porque
el	el
mensagero	mensajero
se	se
agrabe	agrave
o	o
de	de
bolbellos	volverlos
a	a
llebar	llevar
soplyco	suplico
a	a
vra	vuestra
md	merced
q	que
dende	desde
aquy	aquí
al	al
domyngo	domingo
me	me
enbye	envíe
los	los
otros	otros
cyento	ciento
un	un
d	ducados
o	o
cumpa	cumpla
esta	esta
paga	paga
q	que
por	por
los	los
demas	demás
yo	yo
aguardare	aguardaré
todo	todo
lo	lo
q	que
podyere	pudiere
si	si
vramd	vm
no	no
es	es
serbida	servida
azerme	hacerme
esta	esta
md	merced
me	me
perdone	perdone
q	que
yo	yo
no	no
podere	podré
decear	desear
de	de
los	los
fiadores	fiadores
pues	pues
lo	lo
azen	hacen
a	a
my	mí
tanbyen	también
me	me
dyce	dice
el	el
moso	mozo
que	que
fue	fue
alla	allá
q	que
vramd	vm
dizia	decía
q	que
abyan	habían
dado	dado
setecientos	setecientos
ducados	ducados
yo	yo
ya	ya
pase	pasé
de	de
bente	veinte
v	v
y	y
aunq	aunque
me	me
sea	sea
menester	menester
no	no
me	me
lo	lo
queran	querrán
mandar	mandar
dar	dar
y	y
aunq	aunque
my	mi
azienda	hacienda
sea	sea
poca	poca
quando	cuando
yo	yo
me	me
moryere	muriere
de	de
q	que
se	se
pagar	pagar
aquello	aquello
vramd	vm
me	me
perdone	perdone
escrybyr	escribir
esto	esto
tenga	tenga
a	a
vramd	vm
por	por
my	mi
señora	señora
sy	si
en	en
las	las
preguntas	preguntas
q	que
syendo	siendo
vramd	vm
tan	tan
e	y
tenyendo	teniendo
tanto	tanto
e	y
se	se
me	me
paga	paga
tan	tan
a	a
rastro	rastro
sescyentos	seiscientos
ducados	ducados
q	que
soy	soy
pobre	pobre
soldado	soldado
a	a
dos	dos
myl	mil
q	que
me	me
llebaron	llevaron
en	en
tres	tres
dias	días
a	a
my	mi
señor	señor
fernan	fernán
peres	pérez
beso	beso
las	las
manos	manos
y	y
sabe	sabe
dyos	dios
la	la
pena	pena
q	que
tenemos	tenemos
de	de
su	su
enfermedad	enfermedad
doña	doña
mayor	mayor
besa	besa
las	las
manos	manos
a	a
su	su
md	merced
e	y
las	las
de	de
vramd	vm
y	y
entrambos	entrambos
las	las
de	de
la	la
señora	señora
doña	doña
atabyna	atabina
de	de
moreda	moreda
oy	hoy
lunesbesa	lunesbesa
las	las
manos	manos
a	a
vramd	vm
su	su
serbydorluis	servidorluis
de	de
sotomayor	sotomayor
illustre	ilustre
sael	señorael
sor	señor
carlos	carlos
de	de
bibaldo	bibaldo
me	me
a	ha
certificado	certificado
de	de
la	la
m	merced
q	que
vram	vm
me	me
a	ha
de	de
hazer	hacer
y	y
de	de
como	como
vram	vm
quiere	quiere
faborecer	favorecer
mi	mi
partido	partido
vram	vm
haze	hace
en	en
esto	esto
lo	lo
que	que
debe	debe
a	a
quien	quien
es	es
y	y
es	es
ponerme	ponerme
en	en
perpetua	perpetua
obligacion	obligación
la	la
qual	cual
reconoçere	reconoceré
y	y
servire	serviré
mientras	mientras
yo	yo
bibiere	viviere
en	en
todos	todos
los	los
casos	casos
y	y
cosas	cosas
que	que
suscedieren	sucedieren
y	y
asi	así
me	me
podra	podrá
vm	vm
mandar	mandar
de	de
aqui	aquí
adelante	adelante
como	como
a	a
deudo	deudo
y	y
servidor	servidor
mayor	mayor
de	de
vram	vm
y	y
yo	yo
espero	espero
en	en
dios	dios
que	que
con	con
tanta	tanta
m	merced
mi	mi
cuñado	cuñado
a	ha
de	de
conseguir	conseguir
con	con
mucha	mucha
brebedad	brevedad
su	su
intento	intento
para	para
q	que
vram	vm
tenga	tenga
por	por
servidores	servidores
a	a
el	él
y	y
a	a
doña	doña
maria	maría
a	a
la	la
qual	cual
suplico	suplico
a	a
v	vuestra
anime	anime
y	y
faboresca	favorezca
para	para
q	que
ella	ella
entienda	entienda
q	que
tiene	tiene
en	en
vram	vm
fabor	favor
para	para
podernos	podernos
escrivir	escribir
y	y
recibir	recibir
nras	nuestras
cartas	cartas
y	y
supuesto	supuesto
q	que
esto	esto
va	va
endereçado	enderezado
a	a
tan	tan
santo	santo
estado	estado
como	como
es	es
el	el
matrimonio	matrimonio
justamente	justamente
suplico	suplico
yo	yo
esto	esto
a	a
vm	vm
a	a
quien	quien
suplico	suplico
perdone	perdone
mi	mi
atrevimiento	atrevimiento
q	que
ser	ser
vm	vm
mi	mi
señora	señora
y	y
pinelo	pinelo
me	me
da	da
animo	ánimo
para	para
esto	esto
y	y
porque	porque
para	para
principiante	principiante
servidor	servidor
basta	basta
pedir	pedir
lo	lo
dicho	dicho
dexo	dejo
lo	lo
demas	demás
para	para
quando	cuando
yo	yo
entienda	entienda
q	que
estoy	estoy
mas	más
açeto	acepto
y	y
mas	más
en	en
gracia	gracia
de	de
vm	vm
cuya	cuya
ille	ilustre
persona	persona
nro	nuestro
sor	señor
guarde	guarde
muchos	muchos
años	años
a	a
mi	mi
sa	señora
doña	doña
ma	maría
beso	beso
las	las
manosille	manosilustre
saservidor	señoraservidor
de	de
bramellido	vmlicenciado
dio	diego
de	de
marin	marín
mi	mi
señora	señora
de	de
mi	mi
almaeste	almaéste
escribo	escribo
de	de
donde	donde
si	si
fuera	fuera
digno	digno
de	de
veros	veros
lo	lo
pudiera	pudiera
hazer	hacer
facilmente	fácilmente
mas	mas
no	no
soy	soy
tan	tan
venturoso	venturoso
que	que
meresca	merezca
gozar	gozar
de	de
la	la
gloria	gloria
de	de
veros	veros
aunque	aunque
lo	lo
mereçe	merece
la	la
firmeza	firmeza
y	y
lealtad	lealtad
con	con
que	que
soy	soy
vuestro	vuestro
bien	bien
entiendo	entiendo
que	que
no	no
es	es
por	por
culpa	culpa
vuestra	vuestra
sino	sino
por	por
falta	falta
de	de
ventura	ventura
mia	mía
que	que
el	el
ser	ser
quien	quien
soys	sois
me	me
da	da
causa	causa
de	de
tener	tener
esta	esta
confiança	confianza
y	y
me	me
asigura	asegura
de	de
vuestra	vuestra
firmeza	firmeza
y	y
valor	valor
que	que
ninguna	ninguna
de	de
las	las
grandes	grandes
tormentas	tormentas
q	que
aveys	habéis
pasado	pasado
y	y
pasays	pasáis
a	ha
de	de
ser	ser
parte	parte
para	para
sepultar	sepultar
este	este
vro	vuestro
captivo	cautivo
en	en
media	media
hora	hora
de	de
olvido	olvido
del	del
qual	cual
podeys	podéis
estar	estar
muy	muy
çierta	cierta
que	que
por	por
vos	vos
padeçera	padecerá
çien	cien
mill	mil
muertes	muertes
sin	sin
ymaginaçion	imaginación
de	de
mudança	mudanza
y	y
que	que
no	no
vive	vive
porque	porque
tiene	tiene
el	el
coraçon	corazón
dentro	dentro
d	de
estas	estas
venturosas	venturosas
paredes	paredes
que	que
estoy	estoy
contenplando	contemplando
con	con
la	la
vista	vista
quando	cuando
escribo	escribo
esto	esto
y	y
considerando	considerando
q	que
de	de
muy	muy
buena	buena
gana	gana
pasara	pasara
yo	yo
en	en
este	este
entretenimto	entretenimiento
lo	lo
q	que
me	me
queda	queda
de	de
vida	vida
o	o
por	por
mejor	mejor
dezir	decir
de	de
muerte	muerte
porq	porque
sin	sin
vos	vos
no	no
ay	hay
en	en
my	mí
vida	vida
y	y
esto	esto
juro	juro
a	a
dios	dios
y	y
a	a
esta	ésta
que	que
no	no
es	es
fingido	fingido
ni	ni
de	de
maliçia	malicia
sino	sino
que	que
o	o
vos	vos
o	o
perder	perder
vida	vida
y	y
hazienda	hacienda
y	y
mi	mi
fuerza	fuerza
y	y
todo	todo
lo	lo
demas	demás
q	que
puedo	puedo
y	y
tengan	tengan
entendido	entendido
q	que
los	los
q	que
me	me
dan	dan
guerra	guerra
de	de
dentro	dentro
y	y
fuera	fuera
y	y
sepan	sepan
q	que
tengo	tengo
de	de
