TRAIN,LABELS
nuñez,núñez
pesadumbre,pesadumbre
porque,porque
no,no
haçe,hace
mas,más
de,de
pasearse,pasearse
yo,yo
estoy,estoy
en,en
una,una
tinda,tienda
que,que
puso,puso
y,y
el,él
no,no
haçe,hace
mas,más
de,de
comer,comer
y,y
beber,beber
y,y
pasarse,pasarse
sera,será
muy,muy
probe,pobre
porqu,porque
el,el
que,que
en,en
cartaxena,cartagena
no,no
haçe,hace
biaxes,viajes
tan,tan
perdido,perdido
es,es
como,como
en,en
espana,españa
y,y
la,la
muger,mujer
es,es
ni,ni
mas,más
ni,ni
menos,menos
dios,dios
lo,lo
probea,provea
yo,yo
si,si
dos,dios
es,es
serbido,servido
ganare,ganaré
de,de
comer,comer
porque,porque
soy,soy
una,una
presona,persona
sola,sola
yo,yo
tengo,tengo
de,de
poner,poner
tinda,tienda
a,a
partir,partir
la,la
ganacia,ganancia
con,con
po,pedro
nuñez,núñez
entindo,entiendo
que,que
me,me
hira,irá
bin,bien
porque,porque
hombres,hombres
que,que
an,han
estado,estado
en,en
cartaxena,cartagena
quando,cuando
yo,yo
an,han
ganado,ganado
buenos,buenos
ducados,ducados
y,y
es,es
tira,tierra
pa,para
quin,quien
se,se
quisire,quisiere
aplicar,aplicar
mui,muy
buena,buena
yo,yo
no,no
pase,pasé
agua,agua
de,de
mar,mar
mas,más
de,de
pa,para
ganar,ganar
con,con
que,que
pueda,pueda
biber,vivir
y,y
por,por
amor,amor
de,de
dios,dios
que,que
se,se
me,me
embie,envíe
a,a
tomas,tomás
y,y
si,si
vm,vm
no,no
tubire,tuviere
con,con
que,qué
abiarmele,aviármele
embieme,envíeme
vm,vm
a,a
decir,decir
pa,para
que,que
yo,yo
lo,lo
remedi,remedie
que,que
con,con
quinientos,quinientos
rs,reales
le,le
podra,podrá
vm,vm
enbiar,enviar
y,y
a,a
mi,mi
primo,primo
dio,diego
de,de
alcaraz,alcaraz
que,que
digo,digo
que,que
se,se
benga,venga
por,por
aca,acá
que,que
en,en
poco,poco
tinpo,tiempo
se,se
podra,podrá
bolber,volver
con,con
que,que
pueda,pueda
bivir,vivir
a,a
mi,mi
aguelo,abuelo
que,que
le,le
beso,beso
las,las
manos,manos
y,y
su,su
hixos,hijos
y,y
que,que
tengo,tengo
mucho,mucho
deseo,deseo
de,de
berlos,verlos
y,y
qu,que
espero,espero
en,en
dios,dios
que,que
los,los
tengo,tengo
de,de
ber,ver
con,con
brebedad,brevedad
a,a
fran,francisco
gomez,gómez
el,el
sartre,sastre
que,que
si,si
estubiere,estuviere
en,en
cartaxena,cartagena
qu,qué
el,él
se,se
hicira,hiciera
loco,loco
porque,porque
los,los
sartres,sastres
de,de
cartaxena,cartagena
tran,traen
muy,muy
buenas,buenas
cadenas,cadenas
de,de
horo,oro
a,a
fran,francisco
sanchez,sánchez
mi,mi
deseado,deseado
amigo,amigo
que,que
perdone,perdone
el,el
escribirle,escribirle
porque,porque
no,no
tenia,tenía
bagar,vagar
pa,para
dar,dar
la,la
quenta,cuenta
de,de
mi,mi
bida,vida
mas,más
de,de
que,que
tenga,tenga
hesa,ésa
por,por
suya,suya
a,a
dio,diego
de,de
naba,naba
y,y
a,a
frano,francisco
tosino,tosino
beso,beso
las,las
manos,manos
a,a
fernando,fernando
el,el
moro,moro
que,que
me,me
acuerdo,acuerdo
muchas,muchas
beçes,veces
d,de
el,él
porque,porque
me,me
dixo,dijo
al,al
timpo,tiempo
del,del
partirme,partirme
que,que
l,le
escribise,escribiese
y,y
a,a
los,los
amigos,amigos
a,a
quien,quien
vms,vms
bire,viere
que,que
tengo,tengo
oblygacin,obligación
beso,beso
las,las
manos,manos
mi,mi
hixa,hija
encomiendo,encomiendo
a,a
vms,vms
se,se
mire,mire
por,por
hela,ella
po,pedro
nuñez,núñez
esta,está
de,de
pareçer,parecer
de,de
em,en
pasando,pasando
este,este
ano,año
de,de
hirse,irse
a,a
la,la
nuba,nueva
espana,españa
porque,porque
le,le
dicen,dicen
que,que
es,es
tira,tierra
mas,más
barata,barata
y,y
mexor,mejor
que,que
el,el
peru,perú
yo,yo
no,no
pinso,pienso
salir,salir
de,de
cartaxena,cartagena
hasta,hasta
que,que
bea,vea
una,una
de,de
vms,vms
y,y
la,la
tira,tierra
pa,para
un,un
hombre,hombre
que,que
tine,tiene
poca,poca
costa,costa
es,es
mexor,mejor
que,que
ninguna,ninguna
parte,parte
de,de
las,las
hindias,indias
aunque,aunque
desd,desde
el,el
dia,día
de,de
entramos,entramos
en,en
cartaxena,cartagena
lugo,luego
nos,nos
cargaron,cargaron
de,de
alcabuz,arcabuz
porqu,porque
estamos,estamos
en,en
mano,mano
cada,cada
dia,día
del,del
yngles,inglés
dios,dios
lo,lo
remedie,remedie
como,como
puede,puede
no,no
quento,cuento
los,los
trabaxos,trabajos
que,que
se,se
pasaron,pasaron
por,por
la,la
mar,mar
porque,porque
fueron,fueron
muchos,muchos
por,por
salir,salir
en,en
tan,tan
mal,mal
tinpo,tiempo
y,y
tardamos,tardamos
senta,sesenta
i,y
quatro,cuatro
dias,días
en,en
el,el
biaxe,viaje
aunque,aunque
cada,cada
dia,día
nos,nos
holgabamos,holgábamos
que,que
nos,nos
haciamos,hacíamos
muchas,muchas
salbas,salvas
y,y
se,se
gastaba,gastaba
mucha,mucha
pobora,pólvora
y,y
fue,fue
dios,dios
serbido,servido
que,que
sola,sola
una,una
nau,nao
se,se
quedase,quedase
y,y
se,se
libro,libró
la,la
gente,gente
y,y
alli,allí
perdio,perdió
antonio,antonio
bermudez,bermúdez
cunado,cuñado
de,de
husepe,jusepe
de,de
naba,naba
diez,diez
mil,mil
ducados,ducados
y,y
se,se
perdio,perdió
muchas,muchas
acindas,haciendas
de,de
particulares,particulares
yan,ya
no,no
digo,digo
mas,más
sino,sino
que,que
dios,dios
guarde,guarde
a,a
vms,vms
muchos,muchos
anos,años
a,a
mis,mis
hermanos,hermanos
que,que
ruegen,rueguen
a,a
dios,dios
que,que
dios,dios
me,me
de,dé
con,con
que,qué
remediarlos,remediarlos
que,que
yo,yo
espero,espero
en,en
dios,dios
de,de
acudirlos,acudirlos
con,con
lo,lo
que,que
pudire,pudiere
pa,para
su,su
remedio,remedio
a,a
frano,francisco
gomez,gómez
el,el
sastre,sastre
que,que
su,su
primo,primo
paso,pasó
al,al
peru,perú
y,y
que,que
hiba,iba
bueno,bueno
y,y
porque,porque
no,no
s,se
es,es
pa,para
dios,dios
guarde,guarde
a,a
vms,vms
hen,en
cartaxena,cartagena
a,a
trenta,treinta
de,de
y,y
junio,junio
de,de
1599,1599
ano,años
deseado,deseado
hixo,hijo
alo,alonso
de,de
madrid,madrid
alo,alonso
madrid,madrid
muy,muy
vtuoso,virtuoso
señor,señor
agame,hágame
mde,merced
q,que
venda,venda
el,el
trigo,trigo
lo,lo
mas,más
presto,presto
que,que
pueda,pueda
y,y
no,no
lo,lo
vendays,vendáis
syn,sin
qu,que
este,esté
presente,presente
xpo,xpo
alchez,alchez
byn,bien
su,su
yjo,hijo
u,u
otro,otro
quien,quien
el,él
mandare,mandare
q,que
este,esté
presente,presente
al,al
tyenpo,tiempo
que,que
lo,lo
ayays,hayáis
de,de
medir,medir
y,y
no,no
escrivo,escribo
mas,más
syno,sino
q,que
quedo,quedo
a,a
lo,lo
que,que
señor,señor
mandaredes,mandáredes
en,en
consuegra,consuegra
a,a
xx,xx
de,de
mayo,mayo
de,de
myll,mil
y,y
quinientos,quinientos
y,y
treynta,treinta
anos,años
sevastian,sebastián
gomez,gómez
cada,cada
ora,hora
e,he
tenido,tenido
por,por
çierto,cierto
oviera,hubiera
alguna,alguna
cossa,cosa
que,que
poder,poder
avisar,avisar
a,a
vmd,vm
d,de
este,este
nego,negocio
de,de
iñigo,íñigo
ordoñez,ordóñez
y,y
base,vase
alargando,alargando
que,que
aunque,aunque
no,no
ai,hay
de,de
que,qué
dar,dar
a,a
vmd,vm
parte,parte
lo,lo
hago,hago
porq,porque
no,no
paresca,parezca
descuido,descuido
ayer,ayer
lunes,lunes
me,me
dijo,dijo
uno,uno
de,de
los,los
relatores,relatores
del,del
consejo,consejo
que,que
su,su
magd,majestad
mando,mandó
que,que
se,se
juntasen,juntasen
dos,dos
de,de
cada,cada
consejo,consejo
y,y
que,que
viesen,viesen
los,los
proçessos,procesos
y,y
le,le
consultasen,consultasen
si,si
el,el
offiçial,oficial
conforme,conforme
a,a
la,la
concordia,concordia
tenia,tenía
algun,algún
casso,caso
açeptado,aceptado
y,y
que,qué
yndiçios,indicios
resultaban,resultaban
contra,contra
el,el
sr,señor
y,y
que,qué
causas,causas
avia,había
tenido,tenido
hasta,hasta
aora,ahora
ni,ni
del,del
uno,uno
ni,ni
otro,otro
consejo,consejo
no,no
ay,hay
nonbrados,nombrados
jueçes,jueces
porque,porque
el,el
sr,señor
cardenal,cardenal
diçen,dicen
quiere,quiere
yr,ir
curando,curando
este,este
negoçio,negocio
con,con
el,el
tiempo,tiempo
y,y
el,el
presidente,presidente
no,no
ba,va
por,por
enfermedad,enfermedad
al,al
consejo,consejo
los,los
que,que
desean,desean
este,este
negoçio,negocio
que,que
son,son
pocos,pocos
tienen,tienen
por,por
bueno,bueno
se,se
alargue,alargue
y,y
entienden,entienden
se,se
a,ha
de,de
alargar,alargar
si,si
por,por
alargarse,alargarse
pareçiere,pareciere
a,a
vmd,vm
que,que
yo,yo
me,me
baya,vaya
hare,haré
lo,lo
que,que
vmd,vm
me,me
mandare,mandare
a,a
quien,quien
nro,nuestro
sr,señor
guarde,guarde
muchos,muchos
as,años
de,de
md,madrid
23,23
de,de
agosto,agosto
de,de
1588,1588
franco,francisco
lopez,lópez
valtodano,valtodano
con,con
este,este
ordynaryo,ordinario
no,no
e,he
tenydo,tenido
carta,carta
de,de
vm,vm
ny,ni
con,con
el,el
pasado,pasado
q,que
estoy,estoy
con,con
pena,pena
porq,porque
no,no
quysese,quisiese
fuese,fuese
falta,falta
de,de
salud,salud
y,y
deseo,deseo
mucho,mucho
saber,saber
sy,si
a,ha
rrezyvydo,recibido
vm,vm
las,las
myas,mías
y,y
las,las
del,del
conde,conde
de,de
orgas,orgaz
q,que
yban,iban
con,con
ellas,ellas
y,y
me,me
manda,manda
q,que
haga,haga
algo,algo
de,de
su,su
servyçyo,servicio
en,en
este,este
nego,negocio
estoy,estoy
moynysyma,mohinísima
de,de
q,que
no,no
a,ha
sydo,sido
pusyble,posible
con,con
olmedylla,olmedilla
q,que
se,se
entregasen,entregasen
los,los
seys,seis
myl,mil
ducados,ducados
a,a
muzyo,mucio
parabesyn,parabesín
syn,sin
q,que
este,esté
aquy,aquí
el,el
poder,poder
avyendo,habiendo
bysto,visto
todos,todos
los,los
papeles,papeles
q,que
vm,vm
enbyo,envío
q,que
era,era
demasyados,demasiados
bastantes,bastantes
y,y
al,al
prynsypyo,principio
q,que
los,los
inbyo,envió
se,se
lo,lo
parezyo,pareció
y,y
despues,después
en,en
la,la
audençya,audiencia
rrespondyo,respondió
q,que
lybra,libra
a,a
vm,vm
los,los
seys,seis
mil,mil
ducados,ducados
mas,mas
no,no
se,se
entregasen,entregasen
asta,hasta
q,que
estuvyese,estuviese
aquy,aquí
el,el
poder,poder
enbyele,enviele
a,a
suplycar,suplicar
a,a
musyo,mucio
q,que
me,me
hyzyese,hiciese
m,merced
de,de
llegarse,llegarse
con,con
un,un
cryado,criado
myo,mío
en,en
casa,casa
del,del
alcalde,alcalde
q,que
es,es
su,su
besyno,vecino
y,y
q,que
le,le
dyjese,dijese
q,que
le,le
mandase,mandase
dar,dar
este,este
dynero,dinero
y,y
q,que
el,él
se,se
oblygarya,obligaría
q,que
dentro,dentro
de,de
quynze,quince
dyas,días
trayrya,traería
el,el
poder,poder
enbyome,enviome
a,a
dezyr,decir
con,con
calderon,calderón
q,que
me,me
pedya,pedía
no,no
se,se
lo,lo
mandase,mandase
q,que
el,el
avya,había
escryto,escrito
a,a
vm,vm
le,le
enbyase,enviase
y,y
q,que
la,la
semana,semana
q,que
byene,viene
estarya,estaría
aca,acá
suplyco,suplico
a,a
vm,vm
q,que
sy,si
no,no
lo,lo
a,ha
enbyado,enviado
q,que
al,al
punto,punto
lo,lo
enbye,envíe
a,a
muzyo,mucio
q,que
conforme,conforme
a,a
los,los
papeles,papeles
q,que
estan,están
aca,acá
se,se
haga,haga
todo,todo
syn,sin
eseder,exceder
palabra,palabra
d,de
ello,ello
porq,porque
alla,allá
le,le
ban,van
corryendos,corriendo
los,los
rredytos,réditos
a,a
vm,vm
y,y
a,a
my,mí
los,los
de,de
por,por
byda,vida
y,y
este,este
dynero,dinero
esta,está
en,en
poder,poder
del,del
deposytaryo,depositario
y,y
no,no
me,me
gana,gana
un,un
marabedyr,maravedí
y,y
es,es
terryble,terrible
onbre,hombre
y,y
deseo,deseo
mucho,mucho
sacarle,sacarle
este,este
dynero,dinero
y,y
ansy,así
en,en
llegando,llegando
el,el
poder,poder
al,al
punto,punto
se,se
le,le
entregara,entregará
a,a
muzyo,mucio
q,que
ya,ya
no,no
tyene,tiene
q,que
ber,ver
el,el
alcalde,alcalde
en,en
ello,ello
en,en
la,la
audyençya,audiencia
mando,mando
lo,lo
q,que
dygo,digo
y,y
por,por
qdar,quedar
con,con
un,un
gran,gran
dolor,dolor
de,de
caveza,cabeza
no,no
mas,más
de,de
q,que
dyos,dios
gde,guarde
a,a
vm,vm
y,y
le,le
de,dé
lo,lo
mucho,mucho
q,que
deseo,deseo
a,a
mys,mis
ahyjados,ahijados
beso,beso
las,las
ms,manos
y,y
estos,estos
nyños,niños
las,las
de,de
vm,vm
de,de
balladolyd,valladolid
a,a
xx6,xx6
de,de
ebrero,febrero
la,la
condessa,condesa
de,de
byllalonso,villalonso
beso,beso
las,las
ms,manos
de,de
vm,vm
por,por
la,la
mrd,merced
q,que
con,con
su,su
carta,carta
me,me
hyzo,hizo
q,que
a,a
lo,lo
prymero,primero
quyero,quiero
dezyr,decir
a,a
vm,vm
como,como
ansy,así
dyos,dios
me,me
salve,salve
q,que
no,no
e,he
bysto,visto
la,la
q,que
vm,vm
dyze,dice
me,me
enbyo,envío
por,por
la,la
bya,vía
de,de
floryan,florián
de,de
lugo,lugo
y,y
ansy,así
por,por
no,no
aberla,haberla
rrezyvydo,recibido
no,no
aya,haya
rrespondydo,respondido
a,a
floryan,florián
de,de
lugo,lugo
le,le
escryvo,escribo
q,que
me,me
abyse,avise
q,qué
la,la
hyzo,hizo
y,y
me,me
la,la
enbye,envíe
y,y
buelbo,vuelvo
a,a
besar,besar
las,las
ms,manos
de,de
vm,vm
otras,otras
tantas,tantas
bezes,veces
por,por
toda,toda
la,la
mrd,merced
q,que
me,me
haze,hace
q,que
estoy,estoy
muy,muy
syerta,cierta
de,de
rrezyvyrla,recibirla
como,como
syempre,siempre
y,y
no,no
menos,menos
lo,lo
estoy,estoy
de,de
lo,lo
q,que
deseo,deseo
servyr,servir
a,a
vm,vm
y,y
e,he
deseado,deseado
q,que
a,ha
de,de
conozer,conocer
vm,vm
esta,esta
boluntad,voluntad
y,y
entrañas,entrañas
q,que
son,son
onrradas,honradas
y,y
berdaderas,verdaderas
y,y
q,que
cuando,cuando
a,a
vm,vm
se,se
le,le
ofrezyere,ofreciere
en,en
q,que
acuda,acuda
a,a
su,su
servycyo,servicio
bera,verá
con,con
las,las
beras,veras
q,que
es,es
berdad,verdad
esto,esto
y,y
con,con
las,las
q,que
conozere,conoceré
toda,toda
my,mi
byda,vida
lo,lo
q,que
devo,debo
a,a
vm,vm
desela,désela
dyos,dios
a,a
vm,vm
tantos,tantos
años,años
como,como
deseo,deseo
q,que
sy,si
es,es
ansy,así
seran,serán
muchos,muchos
y,y
crea,crea
vm,vm
q,que
los,los
q,que
byvyere,viviere
seran,serán
pa,para
servylle,servirle
y,y
q,que
vm,vm
a,ha
de,de
conozer,conocer
esto,esto
porq,porque
la,la
berdad,verdad
tyene,tiene
tanta,tanta
fuerza,fuerza
y,y
mas,más
donde,donde
tan,tan
de,de
beras,veras
se,se
trata,trata
y,y
a,ha
tratado,tratado
como,como
en,en
vm,vm
confyo,confío
en,en
nro,nuestro
señor,señor
echara,echará
de,de
ber,ver
vm,vm
la,la
mya,mía
y,y
lo,lo
q,que
rreconosco,reconozco
la,la
mrd,merced
qe,que
de,de
vm,vm
e,he
rrezyvydo,recibido
y,y
al,al
tyenpo,tiempo
dejo,dejo
por,por
testygo,testigo
de,de
lo,lo
q,que
deseo,deseo
servylla,servirla
y,y
de,de
la,la
manera,manera
q,que
lo,lo
e,he
de,de
hazer,hacer
myentras,mientras
me,me
durare,durare
la,la
byda,vida
yo,yo
mostre,mostré
su,su
carta,carta
de,de
vm,vm
a,a
don,don
ju,juan
y,y
anbos,ambos
lo,lo
avemos,hemos
myrado,mirado
y,y
pa,para
dezyr,decir
a,a
vm,vm
pumtualmente,puntualmente
lo,lo
q,que
pasa,pasa
bysto,visto
de,de
la,la
suerte,suerte
q,que
se,se
ponyan,ponían
las,las
cosas,cosas
de,de
casa,casa
del,del
cardenal,cardenal
y,y
tenyendo,teniendo
tan,tan
buen,buen
hrno,hermano
como,como
yo,yo
tengo,tengo
en,en
el,el
señor,señor
don,don
dyego,diego
q,que
lo,lo
es,es
de,de
manera,manera
q,que
a,a
todo,todo
my,mi
lynaje,linaje
dejare,dejaré
yo,yo
por,por
su,su
pye,pie
porq,porque
syerto,cierto
señor,señor
le,le
devo,debo
mucho,mucho
y,y
bysto,visto
las,las
nesesydades,necesidades
q,que
tenemos,tenemos
le,le
dyje,dije
a,a
my,mi
señora,señora
escryvyese,escribiese
a,a
su,su
hyjo,hijo
dandole,dándole
cuenta,cuenta
d,de
ellas,ellas
y,y
q,que
procurase,procurase
conponer,componer
las,las
boluntades,voluntades
de,de
suerte,suerte
q,que
nosotros,nosotros
pudyesemos,pudiésemos
yrnos,irnos
a,a
gozar,gozar
de,de
la,la
mrd,merced
q,que
el,el
cardenal,cardenal
nos,nos
hazya,hacía
byno,vino
el,el
peon,peón
y,y
no,no
trujo,trajo
rrespuesta,respuesta
porq,porque
dyze,dice
q,que
luego,luego
despachara,despachará
otro,otro
con,con
cartas,cartas
largas,largas
de,de
todo,todo
don,don
ju,juan
lo,lo
haze,hace
y,y
escryve,escribe
a,a
vm,vm
la,la
boluntad,voluntad
y,y
determynasyon,determinación
de,de
anbos,ambos
vm,vm
como,como
tan,tan
señor,señor
de,de
todo,todo
lo,lo
procure,procure
con,con
las,las
beras,veras
q,que
bee,ve
q,que
ynporta,importa
podrya,podría
ser,ser
fuese,fuese
de,de
mas,más
ynportancya,importancia
de,de
lo,lo
q,que
al,al
presente,presente
nos,nos
pareze,parece
anq,aunque
es,es
de,de
arta,harta
y,y
cuanto,cuanto
aquy,aquí
no,no
puedo,puedo
encarezer,encarecer
porq,porque
pa,para
vm,vm
solo,sólo
se,se
pasa,pasa
grandes,grandes
descomodydades,descomodidades
por,por
las,las
deudas,deudas
sueltas,sueltas
q,que
don,don
ju,juan
tyene,tiene
q,que
le,le
apryetan,aprietan
y,y
con,con
dos,dos
años,años
q,que
no,no
las,las
tase,tase
en,en
su,su
casa,casa
nada,nada
y,y
dejase,dejase
esta,esta
hazyenda,hacienda
pa,para
pagar,pagar
tendrya,tendría
mucho,mucho
descanso,descanso
y,y
pues,pues
estoy,estoy
syerta,cierta
q,que
nadye,nadie
en,en
el,el
mundo,mundo
me,me
le,le
desea,desea
con,con
mas,más
beras,veras
q,que
vm,vm
no,no
tengo,tengo
q,que
suplycalle,suplicarle
las,las
ponga,ponga
en,en
q,que
tenga,tenga
esta,esta
jornada,jornada
las,las
dylyjencyas,diligencias
q,que
vm,vm
le,le
parezyere,pareciere
q,que
hagamos,hagamos
desde,desde
aca,acá
y,y
sy,si
sera,será
byen,bien
escryvyr,escribir
sobre,sobre
ello,ello
a,a
las,las
personas,personas
q,que
vm,vm
le,le
parezyere,pareciere
se,se
me,me
abyse,avise
con,con
este,éste
porq,porque
se,se
hara,hará
y,y
como,como
vm,vm
ponga,ponga
lo,lo
q,que
sabe,sabe
como,como
me,me
haze,hace
mrd,merced
de,de
dezyrme,decirme
todo,todo
nos,nos
susedera,sucederá
byen,bien
y,y
no,no
ay,hay
syno,sino
echar,echar
el,el
rresto,resto
en,en
hazernosla,hacérnosla
pues,pues
toda,toda
nos,nos
la,la
deve,debe
vm,vm
a,a
lo,lo
q,que
deseamos,deseamos
servylle,servirle
y,y
a,a
my,mí
mas,más
q,que
a,a
nadye,nadie
anq,aunque
vm,vm
no,no
quyera,quiera
a,ha
de,de
echar,echar
de,de
ber,ver
en,en
todas,todas
ocasyones,ocasiones
lo,lo
q,que
e,he
stymado,estimado
la,la
mrd,merced
q,que
me,me
a,ha
echo,hecho
muy,muy
byen,bien
rrespondyo,respondió
vm,vm
a,a
pyneda,pineda
y,y
por,por
rremytyrme,remitirme
a,a
la,la
de,de
don,don
ju,juan
no,no
dyre,diré
en,en
mas,más
de,de
q,que
a,a
my,mi
ayjado,ahijado
beso,beso
las,las
ms,manos
y,y
las,las
de,de
su,su
hrno,hermano
dyego,diego
y,y
la,la
suya,suya
las,las
besan,besan
a,a
vm,vm
yo,yo
muchas,muchas
bezes,veces
por,por
la,la
casa,casa
q,que
fuera,fuera
con,con
mas,más
sygurydad,seguridad
a,a
ella,ella
q,que
se,se
me,me
dava,daba
de,de
buena,buena
gana,gana
q,que
a,a
la,la
de,de
my,mi
pe,padre
gde,guarde
nro,nuestro
señor,señor
a,a
vm,vm
y,y
le,le
de,dé
lo,lo
q,que
le,le
deseo,deseo
q,que
a,a
buen,buen
syguro,seguro
q,que
sea,sea
mucho,mucho
de,de
toro,toro
a,a
xiii,xiii
de,de
setyenbre,septiembre
doña,doña
teresa,teresa
de,de
saavedra,saavedra
y,y
çuñiga,zúñiga
por,por
no,no
aber,haber
andado,andado
buena,buena
y,y
por,por
las,las
ocupasyones,ocupaciones
q,que
e,he
tenydo,tenido
con,con
mys,mis
guespedes,huéspedes
como,como
dyra,dirá
astudyllo,astudillo
a,a
vm,vm
no,no
e,he
cho,hecho
esto,esto
antes,antes
rrespondyendo,respondiendo
a,a
vm,vm
a,a
la,la
mrd,merced
q,que
con,con
su,su
carta,carta
me,me
hyzo,hizo
y,y
a,a
lo,lo
prymero,primero
q,que
vm,vm
me,me
dyze,dice
en,en
ella,ella
comensare,comenzaré
a,a
rresponder,responder
q,que
cuando,cuando
yo,yo
escryvy,escribí
a,a
vm,vm
desde,desde
leon,león
no,no
avya,había
bysto,visto
de,de
mys,mis
ojos,ojos
al,al
señor,señor
don,don
dyego,diego
ny,ni
sabya,sabía
cosa,cosa
d,de
ellas,ellas
despues,después
q,que
llegue,llegue
a,a
este,este
lugar,lugar
me,me
dyjeron,dijeron
q,que
avyan,habían
tenydo,tenido
dysgusto,disgusto
vm,vm
y,y
estos,estos
señores,señores
ny,ni
yo,yo
pregunte,pregunté
por,por
q,qué
ny,ni
me,me
parezyo,pareció
q,que
donde,donde
avya,había
tanta,tanta
amystad,amistad
podrya,podría
aber,haber
cosa,cosa
q,que
durase,durase
y,y
ansy,así
cuanto,cuanto
a,a
esto,esto
no,no
tengo,tengo
mas,más
culpa,culpa
q,que
san,san
ju,juan
bastysta,bautista
